Colunnn 1," Colunnn 2",Colunnn 1
もも,もも,momo
ぱぱ,パパ,papa
くま,熊,kuma
あい,愛,ai
あか,赤,aka
あじ,アジ,azi
あな,穴,ana
あゆ,鮎,ayu
いか,イカ,ika
いし,石,isi
いぬ,犬,inu
うし,牛,usi
うそ,嘘,uso
うに,ウニ,uni
うめ,梅,ume
えい,エイ,ei
さば,サバ,saba
えび,海老,ebi
えみ,笑み,emi
かに,カニ,kani
わに,ワニ,wani
ごむ,ゴム,gomu
さる,サル,saru
すし,寿司,susi
たこ,タコ,tako
たま,タマ,tama
ちげ,チゲ,tige
ぽち,ポチ,poti
みけ,ミケ,mike
ぶり,ブリ,buri
ぴざ,ピザ,piza
なつ,夏,natu
はる,春,haru
あき,秋,aki
ふゆ,冬,huyu
じか,時価,zika
ねこ,猫,neko
いど,井戸,ido
つき,月,tuki
たけ,竹,take
すな,砂,suna
うみ,海,umi
かい,貝,kai
ねぎ,ネギ,negi
ちか,地下,tika
かぜ,風,kaze
しろ,城,siro
かべ,壁,kabe
ぞう,象,zo
のり,ノリ,nori
いす,イス,isu
さら,皿,sara
はな,花,hana
うま,馬,uma
ぱん,パン,pann
こめ,米,kome
がむ,ガム,gamu
どあ,ドア,doa
いと,糸,ito
ゆき,雪,yuki
やけい,夜景,yakei
らいち,ライチ,raiti
しげん,資源,sigenn
もでる,モデル,moderu
こいん,コイン,koinn
あふろ,アフロ,ahuro
かんじ,漢字,kannzi
ばなな,バナナ,banana
ばっと,バット,batto
あなご,アナゴ,anago
うなぎ,ウナギ,unagi
わーい,わーい,wai
すいか,スイカ,suika
いちご,イチゴ,itigo
くろず,黒酢,kurozu
つつじ,つつじ,tutuzi
ぞんび,ゾンビ,zonnbi
ごうう,豪雨,gou
かーぶ,カーブ,kabu
あかみ,赤身,akami
あわび,アワビ,awabi
いくら,イクラ,ikura
いわし,イワシ,iwasi
おちゃ,お茶,otya
かえる,カエル,kaeru
かれい,カレイ,karei
あれ?,あれ?,are?
けがに,毛ガニ,kegani
さっき,殺気,satki
さんま,サンマ,sannma
はまち,ハマチ,hamati
しろみ,白身,siromi
かっぱ,カッパ,kappa
にゃー,ニャー,nya
ばった,バッタ,batta
ひらめ,ヒラメ,hirame
ほたて,ホタテ,hotate
まうす,マウス,mausu
まぐろ,マグロ,maguro
するめ,スルメ,surume
さんそ,酸素,sannso
ぷりん,プリン,purinn
わさび,ワサビ,wasabi
かっぱ,カッパ,kappa
まっち,マッチ,matti
あー!,あー!,a!
わー!,わー!,wa!
とんぼ,トンボ,tonnbo
でんわ,電話,dennwa
すずめ,スズメ,suzume
れたす,レタス,retasu
ばけつ,バケツ,baketu
ぼーる,ボール,boru
めがね,眼鏡,megane
ことり,小鳥,kotori
ひっし,必死,hissi
なまず,ナマズ,namazu
あさり,アサリ,asari
しじみ,シジミ,sizimi
むしば,虫歯,musiba
しっぽ,尻尾,sippo
ばっと,バット,batto
ぼきん,募金,bokinn
うさぎ,ウサギ,usagi
あひる,アヒル,ahiru
ひつじ,ヒツジ,hituzi
つくえ,机,tukue
あいす,アイス,aisu
はなび,花火,hanabi
おやつ,おやつ,oyatu
みるく,ミルク,miruku
こっぷ,コップ,koppu
おふろ,お風呂,ohuro
さくら,桜,sakura
わごむ,輪ゴム,wagomu
めいし,名刺,meisi
のーと,ノート,noto
くるま,車,kuruma
きっく,キック,kitku
すきー,スキー,suki
しまい,姉妹,simai
りぼん,リボン,ribonn
ずぼん,ズボン,zubonn
ぶーつ,ブーツ,butu
りんご,りんご,rinngo
こあら,コアラ,koara
れんず,レンズ,rennzu
だいや,ダイヤ,daiya
するめ,するめ,surume
かれー,カレー,kare
めろん,メロン,meronn
めだか,メダカ,medaka
ねごと,寝言,negoto
ふいうち,不意打ち,huiuti
くまげら,クマゲラ,kumagera
むささび,ムササビ,musasabi
すぺいん,スペイン,supeinn
ちちのひ,父の日,titinohi
さざなみ,さざなみ,sazanami
しょどう,書道,syodo
たちよみ,立ち読み,tatiyomi
びしょう,微笑,bisyo
おかりな,オカリナ,okarina
ふじさん,富士山,huzisann
しきしゃ,指揮者,sikisya
ぱぱいや,パパイヤ,papaiya
どりあん,ドリアン,doriann
こーひー,コーヒー,kohi
ししゃも,ししゃも,sisyamo
たこやき,たこ焼き,takoyaki
とびっこ,トビッコ,tobitko
やきゅう,野球,yakyu
おむれつ,オムレツ,omuretu
ぐろーぶ,グローブ,gurobu
にんじゃ,忍者,ninnja
きばせん,騎馬戦,kibasenn
わたがし,綿菓子,watagasi
らーめん,ラーメン,ramenn
よーよー,ヨーヨー,yoyo
かおもじ,顔文字,kaomozi
こしあん,こしあん,kosiann
つぶあん,つぶあん,tubuann
たいふう,台風,taihuu
そぷらの,ソプラノ,sopurano
いのしし,イノシシ,inosisi
ふぃるむ,フィルム,firumu
ぶらんど,ブランド,buranndo
あぼかど,アボカド,abokado
おれんじ,オレンジ,orennzi
めんせき,面積,mennseki
たんぽぽ,たんぽぽ,tannpopo
うめしゅ,梅酒,umesyu
たぴおか,タピオカ,tapioka
かんふー,カンフー,kannhu
てぬぐい,てぬぐい,tenugui
あいこん,アイコン,aikonn
しまうま,シマウマ,simauma
らいおん,ライオン,raionn
ろうそく,ろうそく,rosoku
くつした,靴下,kutusita
きんぱつ,金髪,kinnnpatu
けんだま,けんだま,kenndama
かにたま,かに玉,kanitama
ぼくとう,木刀,bokuto
せんしゃ,洗車,sennsya
あかがい,赤貝,akagai
あまえび,甘エビ,amaebi
うぐいす,ウグイス,uguisu
いやーん,イヤーン,iyann
えんがわ,えんがわ,enngawa
おおとろ,大トロ,otoro
かずのこ,数の子,kazunoko
さーもん,サーモン,samonn
すーぱー,スーパー,supa
すらいむ,スライム,suraimu
でこぴん,でこピン,dekopinn
あざらし,アザラシ,azarasi
ねぎとろ,ネギとろ,negitoro
はんせい,反省,hannsei
きんぎょ,金魚,kinngyo
ざりがに,ザリガニ,zarigani
みじんこ,ミジンコ,mizinnko
しんばし,新橋,sinnnbasi
はちみつ,蜂蜜,hatimitu
かんぱち,カンパチ,kannnpati
しょうゆ,醤油,syoyu
すきやき,スキヤキ,sukiyaki
すずむし,鈴虫,suzumusi
きゃー!,キャー!,kya!
なまはむ,生ハム,namahamu
ちゃいむ,チャイム,tyaimu
さーかす,サーカス,sakasu
きゃべつ,キャベツ,kyabetu
そうじき,掃除機,soziki
あおぞら,青空,aozora
おにぎり,おにぎり,onigiri
ふうりん,風鈴,hurinn
ぼーなす,ボーナス,bonasu
ちきゅう,地球,tikyu
きゃんぷ,キャンプ,kyannpu
はくしゅ,拍手,hakusyu
だいこん,大根,daikonn
しんかい,深海,sinnkai
がっこう,学校,gatko
ふぁいる,ファイル,huairu
