所持bool,アクセサリー名,攻撃力,防御力,アタックタイマー,費用,素材1,個数1,素材2,個数2,"素材3",個数3,説明1,説明2,説明3,特殊能力名1,特殊能力説明1,特殊能力説明2,基本カラー,強化費用,基本強化素材1,個数1,基本強化素材2,個数2,基本強化素材3,個数3,強化攻撃上昇値,強化防御上昇値,1回目宝石必要量1,1回目宝石必要量2,1回目宝石必要量3,1回目宝石必要量4,2回目宝石必要量1,2回目宝石必要量2,2回目宝石必要量3,2回目宝石必要量4,1回目宝石アンロック攻撃上昇値,1回目宝石アンロック防御上昇値,1回目宝石アンロックアタックタイマー上昇値,2回目宝石アンロック攻撃上昇値,2回目宝石アンロック防御上昇値,2回目宝石アンロックアタックタイマー上昇値,1回目宝石アンロック特殊能力bool,2回目宝石アンロック特殊能力bool,モディファイア抽選ベース資金
false,【樹木のペンダント】,0,0.5,0.5,100,木の枝,2,小さな宝石,1,,,身に着けるだけで自然と一体感を味わえる。,エコロジストに喜ばれる。,,なし,,,白,75,木の枝,2,小さな宝石,1,,,0,0.1,3,0,0,0,4,0,0,0,0.5,0.5,0.25,0.75,0.75,0.25,false,false,200
false,【フルーツブレスレット】,0,0.5,0.5,200,錆びた鉄鉱石,2,小さな宝石,1,,,鮮やかな色合いの果物をモチーフにしたブレスレット。,気分爽快な効果がある。,,なし,,,白,250,錆びた鉄鉱石,2,小さな宝石,1,,,0,0.1,4,0,0,0,5,0,0,0,0.5,0.5,0.25,0.75,0.75,0.25,false,false,400
false,【平和のバンド】,0.25,1,0.5,300,木材,2,小さな宝石,1,,,平和を象徴したデザインが特徴のアクセサリー。,身に着けるだけで心が安らぐ。,,なし,,,白,400,木材,2,小さな宝石,1,,,0.1,0.1,4,3,0,0,5,4,0,0,0.5,0.5,0.25,0.75,0.75,0.25,false,false,600
false,【ライフリンクのリング】,0.5,1,0.75,500,魔鉱石,2,小さな宝石,1,,,指輪に込められた魔力は、持つ者の生命力と繋がっている。,,,ライフリンク,与えたダメージの一部を自分のHPとして吸収。,,緑,750,魔鉱石,2,小さな宝石,1,,,0.1,0.2,3,4,0,0,4,5,0,0,0.5,0.5,0.25,0.75,0.75,0.25,false,false,1200
false,【ショックウェーブリング】,0.5,1.5,0.75,1000,鉄鉱石,2,宝石,1,,,大地の力を宿した指輪。,装備することで強力な衝撃波を生み出す。,,ショックウェーブ,一定確率で攻撃時に追加ダメージを与える。,,赤,1500,鉄鉱石,2,宝石,1,,,0.1,0.2,2,5,0,0,3,6,0,0,0.5,0.5,0.25,0.75,0.75,0.25,false,false,3500
false,【鉄のブレスレット】,0.75,1.5,0.75,1500,精錬された鉄,2,宝石,1,,,堅牢なデザインと素材が特徴のブレスレット。,防御力が増加し、身を守る効果がある。,,プロテクト,防御力が一定確率で上昇。,,灰,2000,精錬された鉄,2,宝石,1,,,0.2,0.2,1,5,3,0,2,6,4,0,1.0,1.0,0.5,1.25,1.25,0.5,false,false,4500
false,【疾走のリング】,0.75,2.0,0.75,2000,軽量な合金,2,宝石,1,,,高級感あふれるデザインの指輪。,速さを象徴し、装備者の動きが速くなる。,,疾走,回避能力が上昇。,,水,3000,軽量な合金,2,宝石,1,,,0.2,0.3,0,4,4,0,1,5,5,0,1.0,1.0,0.5,1.25,1.25,0.5,false,false,5000
false,【勇者のペンダント】,1.0,2.0,1.0,2500,伝説の鋼,2,宝石,1,,,勇者に愛用されたと言われるペンダント。,持つ者の力を高める効果がある。,,勇気,攻撃力と防御力が一定確率で同時に上昇。,,紫,4000,伝説の鋼,2,宝石,1,,,0.2,0.3,0,3,5,0,0,4,6,0,1.5,1.5,0.5,1.75,1.75,0.5,false,false,5500
false,【刀匠の指輪】,1.5,3.0,1.0,3000,古代の鉄鉱石,2,大きな宝石,1,,,刀匠によって作られた指輪。,装備者の武器への理解が深まる。,,研ぎ澄まされた感覚,武器の攻撃力が一定確率で増加する。,,オレンジ,4500,古代の鉄鉱石,2,大きな宝石,1,,,0.3,0.5,0,2,5,3,0,3,6,4,1.5,1.5,0.5,1.75,1.75,0.5,false,false,6000
false,【霊魂のイヤリング】,2.0,3.5,1.0,5000,暗黒の合金,2,大きな宝石,1,,,霊の力が宿ると言われているイヤリング。,装備者の防御力を強化するとされる。,,霊魂の守護,防御力が一定確率で増加する。,,灰,5000,暗黒の合金,2,大きな宝石,1,,,0.3,0.5,0,1,4,4,0,2,5,5,2.0,2.0,0.5,2.25,2.25,0.5,false,false,6500
