Name,MaxHP,HP,OP,DP,MaxSP,SP,BaseSP,Gold,Job,AP,language,AttackTimer,BaseOP,BaseDP,BaseAttackTimer
NoName,30,30,31,10.5,50,0,2,110316,モンク,1796,Japanese,8.5,3,0,4
72,10,24,12,29,11,8,13,5,1,,,,,,
1,1,1,1,1,1,1,1,1,1,,,,,,
1,1,1,1,1,1,1,1,1,1,,,,,,
1,1,1,1,1,1,1,1,1,1,,,,,,
スタンハンマー,3.0,,2.0,,,,,,,,,,,,
刃舞の衣,,10.0,2.0,,,,,,,,,,,,
樹木のペンダント,0,0.5,0.5,,,,,,,,,,,,
37,8,5,0,50,0,0,0,0,0,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
