もも,もも,momo
ぱぱ,パパ,papa
くま,熊,kuma
あい,愛,ai
あか,赤,aka
あじ,アジ,azi
あな,穴,ana
あゆ,鮎,ayu
いか,イカ,ika
いし,石,isi
いぬ,犬,inu
うし,牛,usi
うそ,嘘,uso
うに,ウニ,uni
うめ,梅,ume
えい,エイ,ei
さば,サバ,saba
えび,海老,ebi
えみ,笑み,emi
かに,カニ,kani
わに,ワニ,wani
ごむ,ゴム,gomu
さる,サル,saru
すし,寿司,susi
たこ,タコ,tako
たま,タマ,tama
ちげ,チゲ,tige
ぽち,ポチ,poti
みけ,ミケ,mike
ぶり,ブリ,buri
ぴざ,ピザ,piza
なつ,夏,natu
はる,春,haru
あき,秋,aki
ふゆ,冬,huyu
じか,時価,zika
ねこ,猫,neko
いど,井戸,ido
つき,月,tuki
たけ,竹,take
すな,砂,suna
うみ,海,umi
かい,貝,kai
ねぎ,ネギ,negi
ちか,地下,tika
かぜ,風,kaze
しろ,城,siro
かべ,壁,kabe
ぞう,象,zo
のり,ノリ,nori
いす,イス,isu
さら,皿,sara
はな,花,hana
うま,馬,uma
ぱん,パン,pan
こめ,米,kome
がむ,ガム,gamu
どあ,ドア,doa
いと,糸,ito
ゆき,雪,yuki
やけい,夜景,yakei
らいち,ライチ,raiti
しげん,資源,sigen
もでる,モデル,moderu
こいん,コイン,koin
あふろ,アフロ,ahuro
かんじ,漢字,kanzi
ばなな,バナナ,banana
ばっと,バット,batto
あなご,アナゴ,anago
うなぎ,ウナギ,unagi
わーい,わーい,wai
すいか,スイカ,suika
いちご,イチゴ,itigo
くろず,黒酢,kurozu
つつじ,つつじ,tutuzi
ぞんび,ゾンビ,zonnbi
ごうう,豪雨,gouu
かーぶ,カーブ,ka-bu
あかみ,赤身,akami
あわび,アワビ,awabi
いくら,イクラ,ikura
いわし,イワシ,iwasi
おちゃ,お茶,otya
かえる,カエル,kaeru
かれい,カレイ,karei
あれ？,あれ？,are?
けがに,毛ガニ,kegani
さっき,殺気,sakki
さんま,サンマ,sannma
はまち,ハマチ,hamati
しろみ,白身,siromi
かっぱ,カッパ,kappa
にゃー,ニャー,nya-
ばった,バッタ,batta
ひらめ,ヒラメ,hirame
ほたて,ホタテ,hotate
まうす,マウス,mausu
まぐろ,マグロ,maguro
